transaction_id,amount,location,device,payment_method,hour,avg_amount,amount_ratio,new_device,location_change,transactions_last_10min,is_fraud,created_at
TXN10001,1829.7,Hyderabad,iPhone 15,UPI,14,1500.0,1.22,0,0,1,0,2026-08-16 14:05:13
TXN10002,1419.29,Mumbai,Safari macOS,UPI,20,1500.0,0.95,0,0,1,0,2026-08-16 20:21:17
TXN10003,4535.06,Delhi,iPhone 15,Credit Card,19,3500.0,1.3,0,0,1,0,2026-08-16 19:59:24
TXN10004,22067.78,Bangalore,iPhone 15,Credit Card,18,12000.0,1.84,0,0,1,0,2026-08-16 18:54:14
TXN10005,4552.96,Hyderabad,Samsung S24,UPI,18,5000.0,0.91,0,0,1,0,2026-08-16 18:34:46
TXN10006,4552.99,Hyderabad,Chrome Windows,Credit Card,14,5000.0,0.91,0,0,1,0,2026-08-16 14:25:17
TXN10007,15046.22,Mumbai,Samsung S24,Net Banking,17,8000.0,1.88,0,0,3,0,2026-08-16 17:47:35
TXN10008,6796.53,Hyderabad,iPhone 15,UPI,19,5000.0,1.36,0,0,1,0,2026-08-16 19:55:07
TXN10009,9945.47,Pune,iPhone 15,Credit Card,9,12000.0,0.83,0,0,3,0,2026-08-16 09:43:46
TXN10010,48218.58,Bangalore,Samsung S24,Credit Card,17,8000.0,6.03,0,0,1,0,2026-08-16 17:32:58
TXN10011,2907.8,Delhi,iPhone 15,Net Banking,13,3500.0,0.83,0,0,1,0,2026-08-16 13:07:59
TXN10012,2905.11,Hyderabad,Samsung S24,Debit Card,14,3500.0,0.83,0,0,1,0,2026-08-16 14:08:42
TXN10013,2754.06,Delhi,Chrome Windows,Debit Card,20,2500.0,1.1,0,0,1,0,2026-08-16 20:28:57
TXN10014,14943.61,Hyderabad,Samsung S24,Credit Card,7,2500.0,5.98,0,0,1,0,2026-08-16 07:04:57
TXN10015,752.39,Pune,Safari macOS,Debit Card,15,1500.0,0.5,0,0,1,0,2026-08-16 15:15:50
TXN10016,1996.46,Hyderabad,iPhone 15,Net Banking,20,2500.0,0.8,0,0,1,0,2026-08-16 20:25:46
TXN10017,1000.33,Mumbai,iPhone 15,Credit Card,13,1500.0,0.67,0,0,1,0,2026-08-16 13:28:51
TXN10018,36648.18,Singapore,Unknown Web Client,Debit Card,2,8000.0,4.58,1,1,2,1,2026-08-16 02:13:55
TXN10019,2834.85,Pune,Safari macOS,Net Banking,19,2500.0,1.13,0,0,3,0,2026-08-16 19:09:12
TXN10020,1043.16,London,Samsung S24,Credit Card,8,1500.0,0.7,0,1,3,0,2026-08-16 08:03:32
TXN10021,852.61,Hyderabad,iPhone 15,Net Banking,14,1500.0,0.57,0,0,1,0,2026-08-16 14:26:42
TXN10022,4493.13,Hyderabad,iPhone 15,Credit Card,17,2500.0,1.8,0,0,1,0,2026-08-16 17:29:39
TXN10023,21010.8,Chennai,Unknown Web Client,Debit Card,4,2500.0,8.4,1,1,8,1,2026-08-16 04:18:10
TXN10024,10963.77,Mumbai,Chrome Windows,Credit Card,7,12000.0,0.91,0,0,1,0,2026-08-16 07:07:56
TXN10025,2568.45,Bangalore,iPhone 15,Debit Card,13,2500.0,1.03,0,0,1,0,2026-08-16 13:05:40
TXN10026,848.37,Delhi,iPhone 15,UPI,11,1500.0,0.57,0,0,3,0,2026-08-16 11:07:04
TXN10027,2815.13,Chennai,Chrome Windows,UPI,11,3500.0,0.8,0,1,2,0,2026-08-16 11:13:43
TXN10028,3658.79,Mumbai,Safari macOS,Net Banking,20,3500.0,1.05,0,0,1,0,2026-08-16 20:01:11
TXN10029,3155.16,Hyderabad,Safari macOS,Debit Card,14,5000.0,0.63,0,0,1,0,2026-08-16 14:14:12
TXN10030,2905.4,Bangalore,Chrome Windows,Debit Card,13,2500.0,1.16,0,0,1,0,2026-08-16 13:41:32
TXN10031,6291.42,Bangalore,iPhone 15,Debit Card,7,8000.0,0.79,0,0,1,0,2026-08-16 07:06:38
TXN10032,3114.55,Delhi,iPhone 15,UPI,10,3500.0,0.89,0,0,1,0,2026-08-16 10:33:59
TXN10033,1179.14,Bangalore,Chrome Windows,Net Banking,17,1500.0,0.79,0,0,1,0,2026-08-16 17:42:26
TXN10034,7342.46,Bangalore,Safari macOS,Credit Card,13,3500.0,2.1,0,0,1,0,2026-08-16 13:35:53
TXN10035,2486.54,Mumbai,iPhone 15,Net Banking,17,2500.0,0.99,0,0,1,0,2026-08-16 17:18:32
TXN10036,6473.54,Pune,Android Device,Credit Card,1,2500.0,2.59,1,1,5,1,2026-08-16 01:30:39
TXN10037,7860.28,Hyderabad,Safari macOS,Debit Card,19,12000.0,0.66,0,0,1,0,2026-08-16 19:14:11
TXN10038,21773.02,London,Unknown Web Client,Debit Card,14,2500.0,8.71,1,1,2,1,2026-08-16 14:48:57
TXN10039,16675.23,Delhi,Safari macOS,UPI,20,12000.0,1.39,0,0,1,0,2026-08-16 20:16:48
TXN10040,2147.76,Mumbai,Chrome Windows,Credit Card,22,3500.0,0.61,0,0,1,0,2026-08-16 22:21:20
TXN10041,2717.84,Dubai,Safari macOS,Debit Card,11,2500.0,1.09,0,1,2,0,2026-08-16 11:03:13
TXN10042,3653.09,Bangalore,Chrome Windows,Debit Card,7,8000.0,0.46,0,0,2,0,2026-08-16 07:48:24
TXN10043,56117.44,Delhi,Samsung S24,UPI,14,12000.0,4.68,0,0,1,0,2026-08-16 14:53:29
TXN10044,8655.42,Mumbai,Safari macOS,Net Banking,19,8000.0,1.08,0,0,1,0,2026-08-16 19:11:03
TXN10045,3359.11,Hyderabad,Safari macOS,Credit Card,17,2500.0,1.34,0,0,2,0,2026-08-16 17:01:47
TXN10046,3748.33,Mumbai,iPhone 15,UPI,9,3500.0,1.07,0,0,1,0,2026-08-16 09:39:09
TXN10047,11457.53,Pune,iPhone 15,UPI,13,12000.0,0.95,0,0,2,0,2026-08-16 13:49:52
TXN10048,1329.79,Mumbai,iPhone 15,UPI,16,1500.0,0.89,0,0,2,0,2026-08-16 16:37:44
TXN10049,1937.41,Delhi,Chrome Windows,Net Banking,10,3500.0,0.55,0,0,1,0,2026-08-16 10:04:32
TXN10050,56205.13,Singapore,Samsung S24,Net Banking,3,5000.0,11.24,0,1,3,1,2026-08-16 03:27:11
TXN10051,5998.47,Mumbai,iPhone 15,Debit Card,21,8000.0,0.75,0,0,1,0,2026-08-16 21:17:56
TXN10052,4158.62,Mumbai,Chrome Windows,Net Banking,19,5000.0,0.83,0,0,2,0,2026-08-16 19:51:16
TXN10053,12210.43,Delhi,Safari macOS,UPI,15,8000.0,1.53,0,0,1,0,2026-08-16 15:35:48
TXN10054,13768.1,Mumbai,Chrome Windows,Net Banking,21,12000.0,1.15,0,0,1,0,2026-08-16 21:42:37
TXN10055,3952.01,Hyderabad,Samsung S24,UPI,17,8000.0,0.49,0,0,1,0,2026-08-16 17:20:07
TXN10056,13660.93,Mumbai,Chrome Windows,UPI,16,12000.0,1.14,0,0,1,0,2026-08-16 16:00:45
TXN10057,1285.87,Pune,Chrome Windows,Debit Card,11,1500.0,0.86,0,0,1,0,2026-08-16 11:30:30
